epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,542.105,1.37605,0.72022,0.85303,0.95331,0.88006,0.92283,0.46549,1.6627,0.76893,0.91823,0.001882,0.001882,0.001882
125,546.374,1.35178,0.71858,0.85928,0.94016,0.87689,0.92016,0.46956,1.67788,0.75421,0.92025,0.001816,0.001816,0.001816
126,550.716,1.34796,0.70511,0.85785,0.92927,0.87006,0.91217,0.46616,1.66846,0.77265,0.91612,0.00175,0.00175,0.00175
127,555.041,1.38864,0.72709,0.86518,0.92579,0.88525,0.91849,0.46538,1.68848,0.76625,0.92271,0.001684,0.001684,0.001684
128,559.348,1.351,0.72562,0.85528,0.95011,0.87382,0.92387,0.4658,1.68079,0.76466,0.92639,0.001618,0.001618,0.001618
129,563.641,1.37659,0.74128,0.86158,0.93497,0.87303,0.91596,0.45999,1.68219,0.76611,0.92557,0.001552,0.001552,0.001552
130,567.965,1.36306,0.71669,0.86012,0.93746,0.86739,0.9157,0.457,1.6781,0.77019,0.92216,0.001486,0.001486,0.001486
131,572.312,1.32914,0.69728,0.8563,0.94579,0.87335,0.92238,0.47049,1.64905,0.76454,0.91538,0.00142,0.00142,0.00142
132,576.639,1.32549,0.69665,0.84968,0.93087,0.88919,0.92184,0.46477,1.68671,0.78398,0.9172,0.001354,0.001354,0.001354
133,580.953,1.3465,0.71789,0.86445,0.93005,0.87835,0.9132,0.4626,1.68881,0.78118,0.91793,0.001288,0.001288,0.001288
134,585.337,1.33034,0.73672,0.8595,0.92407,0.88654,0.91063,0.46279,1.67498,0.76532,0.9212,0.001222,0.001222,0.001222
135,589.685,1.34846,0.72519,0.8476,0.92313,0.89852,0.92054,0.47282,1.6606,0.75231,0.91309,0.001156,0.001156,0.001156
136,594.008,1.33423,0.69031,0.85231,0.93934,0.88802,0.92691,0.46847,1.68602,0.75999,0.91764,0.00109,0.00109,0.00109
137,598.411,1.31557,0.69361,0.85498,0.93302,0.88421,0.91918,0.46491,1.66417,0.74433,0.91485,0.001024,0.001024,0.001024
138,602.727,1.33047,0.69669,0.85694,0.93464,0.89003,0.92186,0.47048,1.65936,0.75343,0.91262,0.000958,0.000958,0.000958
139,607.042,1.31766,0.69469,0.85312,0.95184,0.88273,0.92041,0.46657,1.674,0.75283,0.91438,0.000892,0.000892,0.000892
140,611.373,1.32426,0.70341,0.85257,0.93098,0.88684,0.92108,0.47089,1.68113,0.75149,0.91711,0.000826,0.000826,0.000826
141,627.435,1.42785,0.80485,0.87943,0.92525,0.88689,0.91636,0.47185,1.67707,0.75578,0.91912,0.00076,0.00076,0.00076
142,631.724,1.4633,0.75941,0.88699,0.95765,0.87813,0.9184,0.4746,1.69666,0.77946,0.91865,0.000694,0.000694,0.000694
143,635.997,1.41677,0.76888,0.88467,0.95275,0.88605,0.9243,0.46137,1.71804,0.764,0.91898,0.000628,0.000628,0.000628
144,640.296,1.38384,0.71933,0.87395,0.94711,0.88235,0.91988,0.46086,1.69726,0.76592,0.91472,0.000562,0.000562,0.000562
145,644.596,1.42225,0.83751,0.88694,0.94127,0.86739,0.91704,0.45425,1.73481,0.77871,0.91965,0.000496,0.000496,0.000496
146,648.823,1.35942,0.70778,0.87676,0.91767,0.89194,0.91549,0.45892,1.71409,0.77529,0.91901,0.00043,0.00043,0.00043
147,653.082,1.37172,0.72816,0.8719,0.96159,0.86616,0.92009,0.45955,1.72654,0.76738,0.92034,0.000364,0.000364,0.000364
148,657.381,1.39319,0.70536,0.87571,0.95999,0.89301,0.9245,0.47307,1.67476,0.74751,0.9147,0.000298,0.000298,0.000298
149,661.637,1.34818,0.6956,0.87173,0.95829,0.89512,0.92795,0.47284,1.67574,0.74537,0.91443,0.000232,0.000232,0.000232
150,665.938,1.36038,0.70605,0.86593,0.95634,0.89613,0.92601,0.47302,1.68137,0.74094,0.91434,0.000166,0.000166,0.000166
