epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,426.368,1.46748,0.80172,0.88019,0.9297,0.82081,0.87756,0.43397,1.70418,0.84212,0.92395,0.003928,0.003928,0.003928
94,430.939,1.45412,0.78947,0.88137,0.93932,0.7907,0.86516,0.41649,1.7628,0.89374,0.93123,0.003862,0.003862,0.003862
95,435.508,1.42837,0.76493,0.87431,0.94066,0.82278,0.88817,0.44064,1.7207,0.81344,0.92266,0.003796,0.003796,0.003796
96,440.057,1.43479,0.76608,0.86755,0.93275,0.8454,0.90624,0.44243,1.69173,0.83765,0.92093,0.00373,0.00373,0.00373
97,444.618,1.46447,0.79637,0.87665,0.92393,0.84122,0.89517,0.44924,1.67269,0.81923,0.91983,0.003664,0.003664,0.003664
98,449.18,1.41776,0.75488,0.87052,0.8855,0.85237,0.89077,0.43484,1.71832,0.84667,0.92122,0.003598,0.003598,0.003598
99,453.648,1.43872,0.78068,0.87362,0.93472,0.8163,0.89075,0.41331,1.77772,0.86158,0.92886,0.003532,0.003532,0.003532
100,458.24,1.43736,0.76596,0.87029,0.9304,0.83527,0.88411,0.43512,1.77379,0.87821,0.92872,0.003466,0.003466,0.003466
101,462.785,1.45277,0.7855,0.87621,0.95615,0.82711,0.89167,0.44957,1.69808,0.8369,0.92246,0.0034,0.0034,0.0034
102,467.366,1.40132,0.77336,0.87011,0.92556,0.82838,0.88113,0.42177,1.76788,0.85554,0.93568,0.003334,0.003334,0.003334
103,471.94,1.45171,0.78189,0.87534,0.95375,0.7834,0.88163,0.43632,1.71899,0.85357,0.93222,0.003268,0.003268,0.003268
104,476.541,1.44562,0.7749,0.86921,0.9603,0.80072,0.90364,0.45052,1.68268,0.81589,0.92093,0.003202,0.003202,0.003202
105,481.162,1.43781,0.77473,0.86766,0.92152,0.84948,0.91145,0.4503,1.71841,0.84159,0.92815,0.003136,0.003136,0.003136
106,485.756,1.46866,0.82566,0.87127,0.92162,0.83059,0.88674,0.4262,1.7273,0.83895,0.93389,0.00307,0.00307,0.00307
107,490.227,1.40624,0.77677,0.87777,0.91115,0.8449,0.88497,0.42507,1.73453,0.83795,0.92981,0.003004,0.003004,0.003004
108,494.812,1.42331,0.74771,0.87304,0.93636,0.83322,0.89498,0.44325,1.70617,0.82382,0.92452,0.002938,0.002938,0.002938
109,499.312,1.38832,0.74441,0.86889,0.95643,0.81345,0.90895,0.45172,1.68984,0.81548,0.91781,0.002872,0.002872,0.002872
110,503.844,1.44227,0.78314,0.87319,0.92793,0.84787,0.89328,0.43921,1.71748,0.81956,0.92053,0.002806,0.002806,0.002806
111,508.388,1.39124,0.76117,0.86379,0.92869,0.81483,0.87508,0.41874,1.77408,0.8515,0.9291,0.00274,0.00274,0.00274
112,512.924,1.39242,0.72573,0.87006,0.92725,0.84887,0.88887,0.44129,1.7106,0.81189,0.92198,0.002674,0.002674,0.002674
113,517.49,1.41073,0.7506,0.86705,0.94998,0.82685,0.88323,0.44009,1.74374,0.82761,0.92645,0.002608,0.002608,0.002608
114,521.989,1.40412,0.75072,0.86396,0.94462,0.8322,0.89413,0.43758,1.77284,0.82509,0.92435,0.002542,0.002542,0.002542
115,526.475,1.40392,0.76463,0.86105,0.91016,0.84616,0.89066,0.4504,1.72594,0.84271,0.92572,0.002476,0.002476,0.002476
116,530.978,1.35871,0.71806,0.85491,0.93372,0.84485,0.9002,0.46262,1.67408,0.8146,0.91704,0.00241,0.00241,0.00241
117,535.46,1.38067,0.71957,0.86752,0.91068,0.84076,0.90025,0.46404,1.68727,0.80448,0.919,0.002344,0.002344,0.002344
118,539.974,1.39729,0.73188,0.86393,0.90029,0.87941,0.91464,0.46521,1.67423,0.80084,0.9157,0.002278,0.002278,0.002278
119,544.459,1.38093,0.73911,0.86824,0.90272,0.85777,0.89979,0.44486,1.75992,0.82854,0.92437,0.002212,0.002212,0.002212
120,548.978,1.35644,0.72349,0.86118,0.94202,0.85585,0.91236,0.44375,1.7071,0.80198,0.92477,0.002146,0.002146,0.002146
121,553.491,1.37305,0.72817,0.8612,0.9181,0.86101,0.91319,0.43857,1.79156,0.81955,0.93432,0.00208,0.00208,0.00208
122,558.047,1.36674,0.72441,0.86685,0.91912,0.87295,0.91144,0.43084,1.76958,0.78882,0.93003,0.002014,0.002014,0.002014
123,562.572,1.35543,0.71278,0.85823,0.92873,0.89067,0.92164,0.46489,1.65741,0.76335,0.91646,0.001948,0.001948,0.001948
124,567.094,1.3673,0.72288,0.85727,0.92547,0.88148,0.92573,0.46874,1.67724,0.77438,0.91475,0.001882,0.001882,0.001882
125,571.658,1.36958,0.7169,0.86197,0.92349,0.87309,0.91682,0.46233,1.69057,0.7773,0.91706,0.001816,0.001816,0.001816
126,576.161,1.32076,0.69285,0.85187,0.92528,0.8581,0.90953,0.46375,1.66554,0.77483,0.91405,0.00175,0.00175,0.00175
127,580.791,1.42448,0.73135,0.87014,0.9051,0.88315,0.91753,0.46745,1.69072,0.7838,0.91412,0.001684,0.001684,0.001684
128,585.4,1.34048,0.71473,0.85224,0.89956,0.88398,0.9221,0.46808,1.69287,0.76473,0.91366,0.001618,0.001618,0.001618
129,589.973,1.36043,0.73369,0.86623,0.9611,0.84836,0.91414,0.45807,1.70152,0.77388,0.91945,0.001552,0.001552,0.001552
130,594.505,1.36248,0.70222,0.85817,0.9406,0.88288,0.91613,0.45884,1.71607,0.78389,0.92021,0.001486,0.001486,0.001486
131,599.061,1.311,0.6906,0.85416,0.93921,0.89199,0.92076,0.47422,1.7001,0.75873,0.9171,0.00142,0.00142,0.00142
132,603.64,1.34297,0.70576,0.8502,0.93321,0.86925,0.91618,0.45569,1.74779,0.76617,0.91968,0.001354,0.001354,0.001354
133,608.224,1.3179,0.70497,0.86078,0.94111,0.85724,0.91478,0.46357,1.70459,0.7709,0.91625,0.001288,0.001288,0.001288
134,612.721,1.33579,0.72455,0.86303,0.95036,0.86872,0.92263,0.46775,1.67506,0.76343,0.91283,0.001222,0.001222,0.001222
135,617.278,1.33358,0.72138,0.8517,0.91858,0.88559,0.9249,0.4665,1.68843,0.76097,0.91495,0.001156,0.001156,0.001156
136,621.834,1.33106,0.69067,0.85237,0.91592,0.89702,0.92403,0.47897,1.65857,0.75166,0.9124,0.00109,0.00109,0.00109
137,626.398,1.32822,0.6927,0.85853,0.91356,0.89655,0.91866,0.47228,1.67575,0.75291,0.9138,0.001024,0.001024,0.001024
138,630.896,1.33417,0.69515,0.85788,0.89933,0.90385,0.92141,0.46279,1.72975,0.76136,0.91946,0.000958,0.000958,0.000958
139,635.463,1.32084,0.70401,0.85138,0.90153,0.90559,0.92144,0.46275,1.71115,0.76125,0.9171,0.000892,0.000892,0.000892
140,640.027,1.29792,0.6828,0.85342,0.93478,0.90159,0.92626,0.46549,1.67909,0.75516,0.91618,0.000826,0.000826,0.000826
141,656.738,1.44974,0.83507,0.88458,0.94128,0.90159,0.92917,0.47419,1.67669,0.75845,0.91481,0.00076,0.00076,0.00076
142,661.33,1.43674,0.76483,0.88205,0.94547,0.87574,0.92094,0.47406,1.70237,0.79754,0.92077,0.000694,0.000694,0.000694
143,665.952,1.42745,0.78193,0.88558,0.93843,0.86964,0.91705,0.46483,1.73455,0.80207,0.92186,0.000628,0.000628,0.000628
144,670.424,1.39577,0.74651,0.87448,0.91585,0.87489,0.91802,0.46505,1.69534,0.78756,0.91666,0.000562,0.000562,0.000562
145,675.039,1.41256,0.84855,0.88615,0.91035,0.882,0.92201,0.45432,1.75141,0.78646,0.92111,0.000496,0.000496,0.000496
146,679.586,1.36755,0.71513,0.87919,0.91458,0.88216,0.92073,0.45597,1.76547,0.77774,0.92288,0.00043,0.00043,0.00043
147,684.169,1.38135,0.72906,0.87121,0.91495,0.88262,0.91742,0.45083,1.77766,0.77374,0.92346,0.000364,0.000364,0.000364
148,688.672,1.3822,0.70564,0.87512,0.93667,0.89629,0.93146,0.47617,1.68678,0.74425,0.9145,0.000298,0.000298,0.000298
149,693.286,1.34535,0.71249,0.87273,0.93094,0.892,0.93,0.47444,1.69368,0.74227,0.91508,0.000232,0.000232,0.000232
150,697.943,1.344,0.68911,0.86394,0.92659,0.88739,0.92702,0.47397,1.72053,0.74397,0.91787,0.000166,0.000166,0.000166
