epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,368.611,1.39184,0.7693,0.86535,0.91513,0.78597,0.83743,0.4123,1.75785,0.94579,0.93812,0.00505,0.00505,0.00505
77,373.706,1.39876,0.78182,0.86237,0.90466,0.8319,0.87098,0.4244,1.77434,0.90589,0.93202,0.004984,0.004984,0.004984
78,378.769,1.43751,0.78464,0.86489,0.94273,0.77579,0.88216,0.41811,1.84539,0.88572,0.94526,0.004918,0.004918,0.004918
79,383.803,1.46882,0.83677,0.87026,0.91714,0.84285,0.89558,0.42825,1.75428,0.85479,0.94074,0.004852,0.004852,0.004852
80,388.761,1.39363,0.77951,0.86094,0.93087,0.84557,0.88546,0.44895,1.66898,0.81998,0.92228,0.004786,0.004786,0.004786
81,393.772,1.39552,0.76837,0.86484,0.92548,0.82297,0.87147,0.437,1.69494,0.87436,0.92718,0.00472,0.00472,0.00472
82,398.594,1.38015,0.73958,0.85962,0.90608,0.84331,0.89111,0.44709,1.72082,0.85459,0.92703,0.004654,0.004654,0.004654
83,403.343,1.37473,0.77618,0.85829,0.9046,0.82232,0.871,0.40463,1.8354,0.86618,0.94934,0.004588,0.004588,0.004588
84,408.093,1.34984,0.73006,0.85708,0.9089,0.84084,0.87786,0.42128,1.83754,0.83618,0.94371,0.004522,0.004522,0.004522
85,412.823,1.40282,0.74598,0.86459,0.91954,0.84516,0.88749,0.43165,1.73518,0.82879,0.93562,0.004456,0.004456,0.004456
86,417.544,1.36643,0.73909,0.85704,0.94333,0.85856,0.90067,0.44337,1.71357,0.79386,0.93491,0.00439,0.00439,0.00439
87,422.278,1.37516,0.75419,0.8653,0.94691,0.88381,0.91523,0.46437,1.65279,0.754,0.91989,0.004324,0.004324,0.004324
88,427.031,1.38327,0.75944,0.85144,0.89672,0.85503,0.90269,0.45595,1.66168,0.78326,0.92048,0.004258,0.004258,0.004258
89,431.819,1.34797,0.73915,0.8587,0.93977,0.85714,0.91056,0.45034,1.69647,0.78642,0.92566,0.004192,0.004192,0.004192
90,436.559,1.31991,0.71462,0.8635,0.94993,0.84582,0.90019,0.44127,1.73496,0.79027,0.92939,0.004126,0.004126,0.004126
91,441.363,1.35853,0.74236,0.86542,0.91134,0.84434,0.89741,0.44616,1.72564,0.82171,0.93239,0.00406,0.00406,0.00406
92,446.135,1.34812,0.72854,0.85936,0.92758,0.86588,0.90525,0.45108,1.7424,0.79869,0.92932,0.003994,0.003994,0.003994
93,450.853,1.31251,0.71977,0.85586,0.89058,0.83415,0.87663,0.42286,1.76386,0.84873,0.93631,0.003928,0.003928,0.003928
94,455.625,1.31789,0.69618,0.86001,0.93355,0.82874,0.88993,0.41444,1.8519,0.83181,0.9462,0.003862,0.003862,0.003862
95,460.382,1.33683,0.71753,0.86013,0.93592,0.85068,0.90413,0.42814,1.79414,0.81258,0.9385,0.003796,0.003796,0.003796
96,465.148,1.28523,0.68063,0.85386,0.92888,0.86787,0.90856,0.46224,1.66708,0.7926,0.92478,0.00373,0.00373,0.00373
97,469.898,1.31849,0.71267,0.85649,0.92918,0.86213,0.90971,0.45319,1.71115,0.78871,0.93011,0.003664,0.003664,0.003664
98,474.689,1.28979,0.69008,0.84717,0.93325,0.84003,0.90188,0.4458,1.74333,0.79645,0.92695,0.003598,0.003598,0.003598
99,479.473,1.30915,0.69235,0.85345,0.94804,0.82423,0.90153,0.44895,1.68697,0.80875,0.9212,0.003532,0.003532,0.003532
100,484.3,1.28717,0.70539,0.84528,0.93979,0.85538,0.91352,0.46349,1.66082,0.77419,0.91883,0.003466,0.003466,0.003466
101,489.123,1.26475,0.66713,0.85006,0.92158,0.85729,0.90377,0.46031,1.70635,0.78453,0.92575,0.0034,0.0034,0.0034
102,493.902,1.28886,0.69353,0.85002,0.93701,0.8513,0.90784,0.46467,1.68935,0.78354,0.9242,0.003334,0.003334,0.003334
103,498.821,1.30128,0.69471,0.85444,0.93346,0.86052,0.89955,0.44592,1.74351,0.79193,0.93024,0.003268,0.003268,0.003268
104,503.641,1.28925,0.68977,0.84939,0.9249,0.80079,0.86765,0.41518,1.87013,0.88669,0.95082,0.003202,0.003202,0.003202
105,508.521,1.28723,0.69755,0.84417,0.92861,0.83398,0.88516,0.42244,1.84528,0.83921,0.94324,0.003136,0.003136,0.003136
106,513.431,1.32203,0.74277,0.85015,0.92695,0.86255,0.90768,0.44304,1.73195,0.75908,0.93634,0.00307,0.00307,0.00307
107,518.351,1.25015,0.69249,0.85182,0.93745,0.86905,0.91477,0.45999,1.65718,0.75394,0.92022,0.003004,0.003004,0.003004
108,523.128,1.25852,0.66987,0.84773,0.9319,0.86768,0.91107,0.45121,1.71071,0.80787,0.93319,0.002938,0.002938,0.002938
109,527.951,1.23904,0.66692,0.84729,0.9277,0.85008,0.90004,0.4495,1.73728,0.81207,0.92926,0.002872,0.002872,0.002872
110,532.844,1.29712,0.70541,0.84925,0.95319,0.86156,0.91591,0.45776,1.71461,0.77434,0.92555,0.002806,0.002806,0.002806
111,537.658,1.25849,0.67441,0.84184,0.96599,0.86361,0.91999,0.46315,1.71777,0.76104,0.92589,0.00274,0.00274,0.00274
112,542.501,1.21533,0.64078,0.84791,0.94809,0.86916,0.91576,0.45681,1.74448,0.77401,0.92902,0.002674,0.002674,0.002674
113,547.413,1.2294,0.66872,0.8435,0.92774,0.87091,0.9174,0.46409,1.725,0.76754,0.92825,0.002608,0.002608,0.002608
114,552.268,1.25044,0.65359,0.84888,0.94061,0.84997,0.9091,0.4611,1.71073,0.76526,0.923,0.002542,0.002542,0.002542
115,557.045,1.24175,0.6789,0.83875,0.94739,0.84226,0.90516,0.45017,1.73655,0.78866,0.92709,0.002476,0.002476,0.002476
116,562.072,1.18955,0.63111,0.83149,0.93514,0.87486,0.92135,0.4732,1.69939,0.74016,0.92176,0.00241,0.00241,0.00241
117,566.995,1.19311,0.62788,0.84236,0.92563,0.8702,0.92019,0.47435,1.71506,0.75885,0.92501,0.002344,0.002344,0.002344
118,571.931,1.1811,0.63172,0.83518,0.94881,0.87431,0.9225,0.47129,1.71918,0.77311,0.93266,0.002278,0.002278,0.002278
119,576.774,1.21656,0.65106,0.84317,0.94854,0.86041,0.91035,0.45238,1.7739,0.76776,0.93489,0.002212,0.002212,0.002212
120,581.577,1.20044,0.66207,0.83586,0.9272,0.86641,0.91901,0.46254,1.70324,0.74319,0.92945,0.002146,0.002146,0.002146
121,586.469,1.19545,0.62256,0.83791,0.90755,0.87629,0.91593,0.46239,1.72678,0.75231,0.93097,0.00208,0.00208,0.00208
122,591.259,1.17135,0.6326,0.84165,0.8913,0.88876,0.91025,0.46191,1.72405,0.75832,0.93246,0.002014,0.002014,0.002014
123,596.076,1.19766,0.63605,0.8358,0.91012,0.86404,0.90847,0.45999,1.69937,0.76897,0.92381,0.001948,0.001948,0.001948
124,600.859,1.19201,0.63244,0.83193,0.9482,0.84569,0.90791,0.46804,1.685,0.78822,0.92204,0.001882,0.001882,0.001882
125,605.641,1.18,0.62543,0.83627,0.94576,0.85609,0.9105,0.47155,1.67655,0.77222,0.92711,0.001816,0.001816,0.001816
126,610.697,1.12814,0.60111,0.83397,0.94445,0.87342,0.92688,0.47211,1.69098,0.75153,0.92202,0.00175,0.00175,0.00175
127,615.622,1.17683,0.61553,0.84056,0.96156,0.85329,0.9265,0.46805,1.72922,0.75348,0.92501,0.001684,0.001684,0.001684
128,620.488,1.16358,0.62483,0.82766,0.94255,0.87448,0.92626,0.47544,1.69791,0.73747,0.9263,0.001618,0.001618,0.001618
129,625.285,1.17822,0.62986,0.83489,0.95279,0.8595,0.92779,0.46842,1.70708,0.75688,0.92477,0.001552,0.001552,0.001552
130,630.137,1.13801,0.60823,0.83099,0.94492,0.87895,0.92262,0.47528,1.68144,0.76051,0.91932,0.001486,0.001486,0.001486
131,635.017,1.14656,0.62028,0.82803,0.94196,0.87765,0.91876,0.46786,1.68844,0.74588,0.92331,0.00142,0.00142,0.00142
132,639.929,1.14332,0.60929,0.83131,0.94335,0.88421,0.92253,0.46833,1.69621,0.73785,0.92502,0.001354,0.001354,0.001354
133,644.773,1.13597,0.6086,0.83605,0.94968,0.884,0.92698,0.47323,1.68093,0.72287,0.92287,0.001288,0.001288,0.001288
134,649.551,1.15619,0.63511,0.82961,0.95138,0.88468,0.92629,0.46582,1.68474,0.72931,0.92344,0.001222,0.001222,0.001222
135,654.488,1.15465,0.62572,0.82624,0.95157,0.88281,0.92836,0.46152,1.71099,0.7354,0.9276,0.001156,0.001156,0.001156
136,659.254,1.12664,0.59802,0.82694,0.93048,0.89424,0.92393,0.45892,1.72079,0.73459,0.92702,0.00109,0.00109,0.00109
137,664.024,1.12515,0.6074,0.83183,0.94692,0.88777,0.92943,0.46438,1.70265,0.72262,0.92456,0.001024,0.001024,0.001024
138,668.788,1.12759,0.6081,0.83299,0.9549,0.89176,0.93327,0.46713,1.72093,0.72132,0.92559,0.000958,0.000958,0.000958
139,673.604,1.11932,0.60207,0.82268,0.94799,0.87748,0.93369,0.46667,1.71701,0.73143,0.9243,0.000892,0.000892,0.000892
140,678.554,1.12519,0.60391,0.82616,0.95605,0.87653,0.93337,0.46223,1.72755,0.72147,0.92536,0.000826,0.000826,0.000826
141,695.694,1.27091,0.71254,0.856,0.93887,0.89755,0.93131,0.46311,1.73941,0.71896,0.926,0.00076,0.00076,0.00076
142,700.377,1.24822,0.63435,0.85639,0.95604,0.8667,0.93119,0.46612,1.71446,0.72648,0.92277,0.000694,0.000694,0.000694
143,705.184,1.21432,0.63829,0.85281,0.96225,0.86262,0.92698,0.4699,1.68521,0.72031,0.92225,0.000628,0.000628,0.000628
144,710.013,1.18637,0.63617,0.84921,0.95708,0.87331,0.92567,0.47444,1.66212,0.71489,0.91744,0.000562,0.000562,0.000562
145,714.711,1.19125,0.69983,0.85532,0.94492,0.88278,0.9238,0.47672,1.67314,0.71671,0.91774,0.000496,0.000496,0.000496
146,719.519,1.13085,0.60027,0.84434,0.94893,0.87436,0.92411,0.47433,1.68708,0.7184,0.91889,0.00043,0.00043,0.00043
147,724.319,1.16606,0.61235,0.84012,0.957,0.87015,0.92618,0.4714,1.68711,0.717,0.92149,0.000364,0.000364,0.000364
148,729.03,1.16866,0.60836,0.84426,0.96015,0.86695,0.92867,0.47425,1.67624,0.71937,0.91968,0.000298,0.000298,0.000298
149,733.785,1.12702,0.6049,0.84022,0.95903,0.86644,0.92851,0.47563,1.68588,0.71429,0.92031,0.000232,0.000232,0.000232
150,738.669,1.1261,0.58809,0.83483,0.95457,0.87064,0.92871,0.48053,1.67393,0.71374,0.91867,0.000166,0.000166,0.000166
